"Plant.ID","Treatment","Population","TOE","Roi.Mask","Fv.Fm","Fq.Fm","NPQ","qP","qN","qL","qI","phiNO","phiNPQ","npq.t","ChlIdx","AriIdx","NDVI","comp"
"Tray06A_Mimiulus_D2_0.8","80%","A",519,3188.09781453614,0.786744998316116,0.111921330357063,1.01953938767567,0.187388974821667,0.616939693475432,0.0943364344718697,1.01692347412074,0.421992446862632,0.465739899281155,2.76736453728164,1.68663830744042,0.758378808980876,0.746863353458494,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",531,3344.5790718717,0.782169164127053,0.115148429303028,1.12491871866922,0.19846990754822,0.646760754439731,0.10491449050095,1.12050211300558,0.397220585613809,0.486671053380832,3.08711830474915,1.67321956278271,0.775019966415216,0.748112335788678,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",543,3570.85779641476,0.784685175843699,0.120015770887977,1.11073674536352,0.204965872604175,0.64314127912805,0.107615901809602,1.10650039843676,0.395964150469344,0.48332639022522,2.9966755665943,1.69207175414489,0.79328337636539,0.75180860532456,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",555,3791.28572010955,0.787911335820801,0.11639177499627,1.1730418045642,0.199288521253742,0.658513407175192,0.105639799354822,1.1673154229823,0.386985794639253,0.496553795824645,3.08460001419144,1.66895390514652,0.790322246045032,0.75120666965934,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",567,4167.0016701616,0.788035315892726,0.114625284730037,1.11894030966666,0.192756871087934,0.643221128002658,0.099080917801647,1.11473429335695,0.399154608498014,0.485911188893819,2.8898468357326,1.69845633255571,0.823777645532217,0.756334954838756,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",579,4422.30242002794,0.78272044599075,0.120551150144109,1.15558675984603,0.205701622623059,0.651808046173274,0.107265718662863,1.15055188328958,0.386920691229289,0.491921873091686,2.98161843343242,1.69551846452308,0.840717821056156,0.758871215815228,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",591,4626.02148483714,0.783769297312446,0.117307052206065,1.03802830530115,0.196731040809126,0.627935011996872,0.0995147082894773,1.03653028016351,0.408391830032167,0.474197283117957,2.77286305283631,1.69215809304146,0.890388235072304,0.76281192104951,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",603,4889.21247808017,0.790904031763374,0.0938414400980482,0.945931695705025,0.157186970465049,0.603480241353107,0.0791902168126369,0.944846277541075,0.459317761409737,0.446876696882151,2.78919322709371,1.54823129731011,0.839791952011917,0.75163390402139,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",615,4987.67996697824,0.793602048049239,0.076480800504603,0.721341358642272,0.133150547738047,0.53381027374937,0.0704216671911003,0.717936130031677,0.556338421732726,0.367204352666686,2.97449206500858,1.53549763393698,0.807894585357192,0.749062160996471,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",627,4955.53535063338,0.790889763718528,0.101064388683071,0.866580894733689,0.173668659931188,0.564471709707896,0.0916624320633819,0.860398253118524,0.492614759269711,0.406319821917268,2.90219997934331,1.68683495352014,0.878365757400487,0.763142506285557,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",639,4835.56807769286,0.786761707485631,0.120931546491494,1.00916378681295,0.199304564655397,0.59388233490923,0.0996738405917488,1.00294092016508,0.429941352125916,0.449126103733524,2.53032007619338,1.77510241917697,1.00194832012061,0.778388010178634,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",651,4902.60173623387,0.785346237241617,0.130284539758885,1.27372059086592,0.226742927512774,0.675993632889144,0.124765079333867,1.26395997343016,0.362494871511224,0.507219415925402,3.19820593503069,1.74268256827889,0.99391513449951,0.77760993661301,"80%"
